outlet,date,title,word_count,affective_hits,ais_score,hit_words
BBC Asia,"Thu, 03 Sep 2026 11:35:52 GMT",Toxic wildfire haze spreads across South East Asia as 'super' El Niño intensifies,13,0,0.0,
BBC Asia,"Thu, 03 Sep 2026 11:58:00 GMT",Eleven people sentenced to death in Vietnam drug trafficking case,10,0,0.0,
BBC Asia,"Thu, 03 Sep 2026 11:33:09 GMT",US sailors go shopping before hitting the bars in Thailand after 250-day voyage,13,0,0.0,
BBC Asia,"Thu, 03 Sep 2026 00:58:44 GMT",Why Nepal floods should worry India,6,0,0.0,
BBC Asia,"Wed, 02 Sep 2026 15:16:42 GMT",'Nothing but mud and silt' - the village swept away by deadly floods in Nepal,14,1,7.142857142857142,deadly
BBC Asia,"Thu, 03 Sep 2026 07:11:46 GMT",India's GDP growth defies oil shock but stirs up controversy,10,0,0.0,
BBC Asia,"Wed, 02 Sep 2026 05:56:44 GMT",South Korea jails care home head for sexually assaulting disabled residents,11,0,0.0,
BBC Asia,"Wed, 02 Sep 2026 12:09:11 GMT",Could the man who murdered a Christian missionary and his sons walk free in India?,15,0,0.0,
BBC Asia,"Wed, 02 Sep 2026 15:57:13 GMT","Nepal intensifies relief and recovery efforts after deadly floods, UN says",11,1,9.090909090909092,deadly
BBC Asia,"Wed, 02 Sep 2026 07:18:39 GMT",Why US troops have a history in this raucous Thai city,11,0,0.0,
BBC Asia,"Tue, 01 Sep 2026 16:11:18 GMT","River water smashed into tunnel and chased me for 20 minutes, Nepal worker tells BBC",15,0,0.0,
BBC Asia,"Wed, 02 Sep 2026 04:29:02 GMT",Jailed HK activist Joshua Wong pleads guilty to foreign collusion,10,0,0.0,
BBC Asia,"Tue, 01 Sep 2026 05:00:34 GMT",'I've never been to Afghanistan': Six million deportees forced to start over under the Taliban,15,0,0.0,
BBC Asia,"Mon, 31 Aug 2026 00:16:14 GMT",What will Sonia Gandhi's memoir reveal about India's most powerful dynasty?,11,0,0.0,
